date,amount
01-01-2019,88828
01-02-2019,33246
01-03-2019,48707
01-04-2019,63311
01-05-2019,55254
01-06-2019,54480
01-07-2019,60620
01-08-2019,56630
01-09-2019,55306
01-10-2019,59123
01-11-2019,57979
01-12-2019,59517
01-01-2020,68277
01-02-2020,65924
01-03-2020,74396
01-04-2020,49102
01-05-2020,45354
01-06-2020,52368
01-07-2020,55861
01-08-2020,55504
01-09-2020,53122
01-10-2020,58027
01-11-2020,56664
01-12-2020,59772
01-01-2021,80236
01-02-2021,42464
01-03-2021,64357
01-04-2021,63347
01-05-2021,58136
01-06-2021,50120
01-07-2021,58343
01-08-2021,62869
01-09-2021,61721
01-10-2021,64274
01-11-2021,70592
01-12-2021,56279
